time,temperature,humidity,measured_mass,initial_mass,equilibrium_mass
3.5833333333333335,27,65,1.532,49.792,1.249
3.5833333333333335,27,85,20.237,49.625,2.047
3.6666666666666665,10,40,2.091,49.467,1.195
3.6666666666666665,10,65,22.16,48.392,1.444
3.6666666666666665,10,85,37.379,50.55,1.865
3.6666666666666665,22,65,10.141,50.181,1.54
3.6666666666666665,22,85,25.753,51.473,2.492
3.6666666666666665,27,65,0.383,49.792,1.249
3.6666666666666665,27,85,19.921,49.625,2.047
3.75,10,40,1.189,49.467,1.195
3.75,10,65,22.452,48.392,1.444
3.75,10,85,38.754,50.55,1.865
3.75,22,65,8.725,50.181,1.54
3.75,22,85,27.052,51.473,2.492
3.75,27,65,0.592,49.792,1.249
3.75,27,85,19.331,49.625,2.047
3.8333333333333335,10,40,1.511,49.467,1.195
3.8333333333333335,10,65,21.831,48.392,1.444
3.8333333333333335,10,85,37.543,50.55,1.865
3.8333333333333335,22,65,8.743,50.181,1.54
3.8333333333333335,22,85,25.5,51.473,2.492
3.8333333333333335,27,65,0.343,49.792,1.249
3.8333333333333335,27,85,18.893,49.625,2.047
3.9166666666666665,10,40,1.195,49.467,1.195
3.9166666666666665,10,65,21.537,48.392,1.444
3.9166666666666665,10,85,36.496,50.55,1.865
3.9166666666666665,22,65,7.219,50.181,1.54
3.9166666666666665,22,85,25.651,51.473,2.492
3.9166666666666665,27,65,0.77,49.792,1.249
3.9166666666666665,27,85,17.666,49.625,2.047
4,10,40,0.856,49.467,1.195
4,10,65,20.812,48.392,1.444
4,10,85,36.019,50.55,1.865
4,22,65,6.707,50.181,1.54
4,22,85,24.649,51.473,2.492
4,27,65,-0.271,49.792,1.249
4,27,85,17.611,49.625,2.047
4.083333333333333,10,40,0.911,49.467,1.195
4.083333333333333,10,65,21.007,48.392,1.444
4.083333333333333,10,85,36.495,50.55,1.865
4.083333333333333,22,65,6.01,50.181,1.54
4.083333333333333,22,85,24.098,51.473,2.492
4.083333333333333,27,65,-0.693,49.792,1.249
4.083333333333333,27,85,16.712,49.625,2.047
4.166666666666667,10,40,0.284,49.467,1.195
4.166666666666667,10,65,20.171,48.392,1.444
4.166666666666667,10,85,36.359,50.55,1.865
4.166666666666667,22,65,5.233,50.181,1.54
